# Time (Myr)     rI [kpc]       vI [km/s]     
  3.4878e+02   7.5749e+00   9.5504e+00
  3.4996e+02   7.5865e+00   9.5473e+00
  3.5115e+02   7.5980e+00   9.5312e+00
  3.5233e+02   7.6095e+00   9.5172e+00
  3.5352e+02   7.6210e+00   9.5001e+00
  3.5470e+02   7.6325e+00   9.4811e+00
  3.5589e+02   7.6440e+00   9.4624e+00
  3.5707e+02   7.6555e+00   9.4446e+00
  3.5826e+02   7.6669e+00   9.4277e+00
  3.5945e+02   7.6784e+00   9.4118e+00
  3.6065e+02   7.6899e+00   9.3972e+00
  3.6184e+02   7.7013e+00   9.3888e+00
  3.6303e+02   7.7127e+00   9.3843e+00
  3.6422e+02   7.7241e+00   9.3691e+00
  3.6541e+02   7.7355e+00   9.3430e+00
  3.6660e+02   7.7469e+00   9.3209e+00
  3.6780e+02   7.7583e+00   9.3121e+00
  3.6900e+02   7.7697e+00   9.3209e+00
  3.7019e+02   7.7810e+00   9.3260e+00
  3.7138e+02   7.7923e+00   9.3081e+00
  3.7256e+02   7.8036e+00   9.2802e+00
  3.7375e+02   7.8148e+00   9.2538e+00
  3.7494e+02   7.8261e+00   9.2325e+00
  3.7615e+02   7.8375e+00   9.2469e+00
  3.7734e+02   7.8487e+00   9.2733e+00
  3.7852e+02   7.8600e+00   9.2586e+00
  3.7970e+02   7.8711e+00   9.2228e+00
  3.8089e+02   7.8823e+00   9.1883e+00
  3.8207e+02   7.8934e+00   9.1559e+00
  3.8327e+02   7.9046e+00   9.1445e+00
  3.8447e+02   7.9157e+00   9.1579e+00
  3.8565e+02   7.9269e+00   9.1582e+00
  3.8683e+02   7.9379e+00   9.1332e+00
  3.8801e+02   7.9489e+00   9.1012e+00
  3.8920e+02   7.9599e+00   9.0710e+00
  3.9039e+02   7.9709e+00   9.0430e+00
  3.9158e+02   7.9820e+00   9.0492e+00
  3.9277e+02   7.9930e+00   9.0723e+00
  3.9396e+02   8.0039e+00   9.0618e+00
  3.9513e+02   8.0148e+00   9.0329e+00
  3.9631e+02   8.0257e+00   9.0043e+00
  3.9750e+02   8.0366e+00   8.9769e+00
  3.9869e+02   8.0475e+00   8.9622e+00
  3.9989e+02   8.0584e+00   8.9779e+00
  4.0107e+02   8.0693e+00   8.9939e+00
  4.0225e+02   8.0802e+00   8.9788e+00
  4.0343e+02   8.0910e+00   8.9517e+00
  4.0461e+02   8.1017e+00   8.9256e+00
  4.0579e+02   8.1125e+00   8.9037e+00
  4.0699e+02   8.1234e+00   8.9083e+00
  4.0818e+02   8.1343e+00   8.9319e+00
  4.0936e+02   8.1451e+00   8.9325e+00
  4.1054e+02   8.1558e+00   8.9065e+00
  4.1172e+02   8.1665e+00   8.8735e+00
  4.1290e+02   8.1772e+00   8.8422e+00
  4.1409e+02   8.1879e+00   8.8135e+00
  4.1528e+02   8.1987e+00   8.8128e+00
  4.1647e+02   8.2094e+00   8.8326e+00
  4.1765e+02   8.2201e+00   8.8283e+00
  4.1883e+02   8.2307e+00   8.8013e+00
  4.2001e+02   8.2413e+00   8.7709e+00
  4.2119e+02   8.2518e+00   8.7422e+00
  4.2238e+02   8.2624e+00   8.7157e+00
  4.2358e+02   8.2731e+00   8.7202e+00
  4.2476e+02   8.2837e+00   8.7428e+00
  4.2595e+02   8.2942e+00   8.7356e+00
  4.2712e+02   8.3047e+00   8.7078e+00
  4.2830e+02   8.3152e+00   8.6789e+00
  4.2948e+02   8.3257e+00   8.6521e+00
  4.3067e+02   8.3362e+00   8.6285e+00
  4.3187e+02   8.3467e+00   8.6369e+00
  4.3306e+02   8.3572e+00   8.6615e+00
  4.3424e+02   8.3677e+00   8.6549e+00
  4.3542e+02   8.3781e+00   8.6296e+00
  4.3659e+02   8.3884e+00   8.6042e+00
  4.3777e+02   8.3988e+00   8.5883e+00
  4.3896e+02   8.4092e+00   8.5815e+00
  4.4016e+02   8.4197e+00   8.5884e+00
  4.4135e+02   8.4302e+00   8.6025e+00
  4.4253e+02   8.4406e+00   8.5951e+00
  4.4370e+02   8.4509e+00   8.5684e+00
  4.4488e+02   8.4612e+00   8.5389e+00
  4.4606e+02   8.4714e+00   8.5116e+00
  4.4725e+02   8.4818e+00   8.4938e+00
  4.4844e+02   8.4921e+00   8.4905e+00
  4.4963e+02   8.5024e+00   8.4991e+00
  4.5081e+02   8.5127e+00   8.4989e+00
  4.5199e+02   8.5229e+00   8.4773e+00
  4.5316e+02   8.5330e+00   8.4495e+00
  4.5434e+02   8.5432e+00   8.4240e+00
  4.5552e+02   8.5534e+00   8.4064e+00
  4.5671e+02   8.5636e+00   8.3981e+00
  4.5790e+02   8.5738e+00   8.4064e+00
  4.5908e+02   8.5840e+00   8.4140e+00
